"Module","Submodule","Feature/Function","Surface","Route or Source","Notes"
"Dashboard","Overview","View a daily personal operating summary","Web","/","Authenticated dashboard"
"Dashboard","Overview","See daily signal and next actions","Web","/","Informational summary"
"Dashboard","Sync context","See recent changes available from another device","Web","/","Shows sync context without raw sensitive payloads"
"Dashboard","Quick capture","Start a transaction, task, event, health note, or medication capture","Web","/; QuickAddFab","Global capture entry point"
"Tasks","Task management","Create, edit, complete, and remove personal tasks","Web","/tasks","Top-level destination"
"Tasks","Planning","Assign task timing, priority, and supporting details","Web","/tasks","User-managed planning information"
"Tasks","Review","See open, completed, and due task states","Web","/tasks","Status-based task review"
"Events","Calendar","Create and manage personal events","Web","/events","Top-level destination"
"Events","Scheduling","Review event timing and related details","Web","/events","Calendar-style event workflow"
"Events","Reminders","Manage event reminders and recurrence where configured","Web","/events","Uses the event form options"
"Money","Transactions","Record and review financial transactions","Web","/transactions","Money navigation group"
"Money","Transactions","Edit transaction details and categories","Web","/transactions","Manual-first financial records"
"Money","Review Queue","Review suggested or imported transactions before acceptance","Web","/review","Human confirmation workflow"
"Money","Bank accounts","Maintain bank account records and balances","Web","/accounts","Asset account management"
"Money","Owned assets","Track homes, investments, cash, shares, ETFs, and other assets","Web","/assets","Asset register"
"Money","Liabilities","Track loans, mortgages, and other liabilities","Web","/liabilities","Liability register"
"Money","BNPL workspace","Track buy-now-pay-later obligations","Web","/bnpl","Liability submodule"
"Money","Shared debts","Record money owed to or by another person","Web","/debts","Supports household context and manual interest details"
"Money","Recurring transactions","Manage repeating income or expense patterns","Web","/recurring","Regular transaction planning"
"Money","Bills workspace","Track bills and payment status","Web","/bills","Regular transaction planning"
"Money","Commitments overview","Review ongoing financial commitments","Web","/commitments","Regular transaction planning"
"Money","Income and pay","Record income and pay information","Web","/income","Earnings submodule"
"Money","Salary packaging","Track salary packaging arrangements","Web","/salary-packaging","Earnings submodule"
"Money","Taxation","Review tax scenarios and Australian tax calculations","Web","/tax","Includes deductions, Medicare levy, HELP, and net income views"
"Money","Financial planning","Review financial plans and projections","Web","/financial","Planning submodule"
"Money","Goals","Create and track personal financial goals","Web","/goals","Planning submodule"
"Money","Budgets","Set and review spending budgets","Web","/budgets","Planning submodule"
"Money","Chart of accounts","Manage transaction categories and account structure","Web","/categories","Planning submodule"
"Money","Business scratchpad","Keep business-related planning notes","Web","/scratchpad","Separate from structured financial records"
"Money","Price watch","Track watched prices and target thresholds","Web","/price-watch","Money planning submodule"
"Health","Medications","Maintain medication records and prescription information","Web","/medications","Health navigation group"
"Health","Medications","Configure medication dosing schedules","Web","/medications","Supports scheduled medication workflows"
"Health","Medications","Review medication logs and dose history","Web","/medications","Manual health record workflow"
"Health","Health metrics","Record and review vital measurements","Web","/health","Health measurement workflow"
"Health","Health metrics","Record symptoms and mood observations","Web","/health","Personal observation records"
"Health","Health metrics","Review health trends and historical measurements","Web","/health","Data observation only"
"Health","Conditions","Maintain health condition records","Web","/conditions","Condition tracking"
"Health","Practitioners","Maintain practitioner and practice records","Web","/practitioners","People and organisation links"
"Health","Practitioners","Record referrals and practitioner relationships","Web","/practitioners","Care coordination workflow"
"Health","Appointments","Schedule healthcare appointments","Web","/appointments","Appointment management"
"Health","Appointments","Record appointment outcomes, costs, and related care details","Web","/appointments","Care documentation workflow"
"Health","Pathology and imaging","Track pathology reports and imaging records","Web","/pathology","Clinical document index"
"Health","Pathology and imaging","Review lab panels and recorded results","Web","/pathology","Structured result review"
"Health","Health funding","Record Medicare and private health claims","Web","/health-funding","Australian health funding workflow"
"Health","Health funding","Import claim statements from CSV or supported PDF files","Web","/health-funding","Review-first import flow"
"Health","Health funding","Review, edit, exclude, and confirm imported claim rows","Web","/health-funding","Claims are not created before confirmation"
"Health","Health funding","Review import audit history and remove source files","Web","/health-funding","Privacy-safe source and audit controls"
"Household","Kitchen and meals","Maintain recipes and recipe details","Web","/kitchen","Household navigation group"
"Household","Kitchen and meals","Plan meals and organize cooking information","Web","/kitchen","Household planning workflow"
"Household","Storage and belongings","Track stored belongings and storage locations","Web","/storage","Household inventory"
"Household","Storage and belongings","Manage and print storage labels","Web","/storage","Label-sheet workflow"
"Other","People and organisations","Maintain people, organisations, and household contacts","Web","/people","Other navigation group"
"Other","Qualifications","Maintain qualifications and study records","Web","/qualifications","Education and development workflow"
"Other","Qualifications","Manage programs, units, assessments, and grading information","Web","/qualifications","Structured study records"
"Other","Qualifications","Preview and import study data from CSV","Web","/qualifications","Review-before-commit import workflow"
"Settings","Account and preferences","Manage application settings and personal preferences","Web","/settings","Footer navigation destination"
"Settings","Privacy and security","Review privacy controls and account actions","Web","/settings","Credential-safe account management"
"Settings","Feedback","Send development feedback while running the web app","Web","DevelopmentFeedback","Development-only workflow"
"Mobile","Home","View a daily signal and next actions","Mobile","app/(tabs)/index.tsx","Expo home tab"
"Mobile","Home","See encrypted offline queue status and remote sync context","Mobile","app/(tabs)/index.tsx","Shows queue state without exposing raw payloads"
"Mobile","Capture","Capture a transaction, task, health note, medication dose, or event","Mobile","app/(tabs)/capture.tsx","Offline-first capture entry point"
"Mobile","Capture","Attach a camera photo to a capture","Mobile","app/(tabs)/capture.tsx","Requires device camera permission"
"Mobile","Capture","Record scheduled or unscheduled medication doses","Mobile","app/(tabs)/capture.tsx","Validates medication and dose choices"
"Mobile","Capture","Queue captures locally for later synchronization","Mobile","providers/AppProvider","Encrypted local queue"
"Mobile","Health","Choose Apple Health data types and request access","Mobile","app/(tabs)/health.tsx","Explicit per-type permission flow"
"Mobile","Health","Import Apple Health records with anchored recovery","Mobile","app/(tabs)/health.tsx; lib/health-smoke.ts","Keeps the previous anchor when recovery fails"
"Mobile","Health","Pause, resume, disconnect, or exclude imported health copies","Mobile","app/(tabs)/health.tsx","Imported-copy controls"
"Mobile","Health","Review and resolve health observations","Mobile","app/(tabs)/health.tsx","Acknowledgement and dismissal actions"
"Mobile","Health","Delete Ishiki imported copies without changing Apple Health originals","Mobile","app/(tabs)/health.tsx","Explicit destructive confirmation"
"Mobile","Medication detail","Review or record a scheduled medication dose","Mobile","app/medication/[scheduleId].tsx","Medication-specific route"
